qr_code_id	school_name	missed_count
687	靖远县第六中学	1
737	玉门市第三小学	1
751	庄浪县韩店中学	1
768	玉门市小金湾乡学校	1
777	灵台县第二中学	1
839	景泰县第八小学	1
840	景泰县第七小学	1
873	良邑学区	1
875	郑河学区	1
884	靖远县北滩镇教育管理中心	1
891	靖远县靖安乡教育管理中心	1
901	敦煌市南街小学	1
908	五合镇教育管理中心	1
993	平泉学区	1
1061	甘南藏族自治州合作第一小学	1
1109	陇南师范学院附属实验学校	1
1151	董志学区	1
1155	北京师范大学庆阳附属学校	1
1169	庆阳市西峰区向阳小学	1
1170	庆阳市西峰区团结小学	1
1171	庆阳市西峰区西街小学	1
1173	庆阳市西峰区新建小学	1
1200	庆阳第五中学	1
1203	庆阳第三中学	1
1207	西峰区温泉镇地庄小学	1
1253	白银市白银区第十四小学	1
1299	金昌市实验小学	1
1321	天水市秦州区玉泉镇石马坪中心小学	1
1386	庆城县庆华小学	1
1490	徽县第四中学	1
1544	舟曲县第二小学	1
1644	漳县第一中学	1
1802	通渭县平襄初级中学	1
1884	两水第二小学	1
1890	江南学区	1
1902	天水市第三中学	1
2038	镇原县城关初级中学	1
2150	武威第二十八中学（学府路小学）	1
2163	武威第六中学	1
2224	武威第十中学	1
2414	卓尼县第一中学	1
2416	卓尼县柳林第二小学	1
2454	环县甜水镇中心小学	1
2561	胡川镇中学	1
2675	静宁县新城小学	1
2718	静宁县双岘初级中学	1
2786	酒泉市西大街小学	1
2787	酒泉市实验小学	1
2797	酒泉市北苑学校	1
2801	酒泉第六中学	1
2816	酒泉师范附属小学	1
2826	陕西师范大学平凉实验中学	1
2858	平凉市崆峒区大秦乡学区	1
2865	平凉市第十中学	1
2916	临潭县新城镇东街小学	1
2973	瓜州县第一中学	1
2978	瓜州县渊泉第二小学	1
2994	华亭市第三中学	1
3059	宕昌县哈达铺小学	1
3086	景泰县漫水滩学区	1
3239	岷县岷阳镇北城小学	1
3247	岷县北城初级中学	1
3521	玛曲县第一中学西校区	1
3526	礼县第四中学	1
3528	礼县洮坪乡中心小学	1
